carat,cut,color,clarity,price,x
1.1,Ideal,H,SI2,4733,6.61
1.29,Ideal,H,SI1,6424,6.96
1.2,Premium,I,SI1,5510,6.88
1.5,Ideal,F,SI1,8770,7.43
0.9,Very Good,F,VS2,4493,6.17
0.32,Ideal,G,IF,918,4.39
0.3,Very Good,H,IF,789,4.26
0.61,Ideal,E,VVS2,2823,5.51
2.01,Premium,G,SI2,18705,8.08
0.31,Ideal,I,VS1,507,4.37
0.64,Ideal,H,SI1,1880,5.54
0.41,Ideal,E,VS2,935,4.75
0.52,Ideal,F,VS1,1872,5.16
0.3,Premium,G,IF,956,4.34
1.01,Good,H,SI2,3111,6.37
2.01,Premium,I,SI1,16499,8.12
0.32,Ideal,G,IF,954,4.42
1.51,Ideal,I,SI1,8342,7.4
2.5,Fair,G,I1,8711,8.55
0.7,Ideal,G,SI1,2567,5.66
0.34,Ideal,I,VS1,555,4.5
1.7,Ideal,G,VVS1,18445,7.67
1.2,Ideal,F,VS2,8486,6.83
0.35,Premium,E,VS2,984,4.49
0.36,Very Good,G,VVS2,858,4.68
0.56,Ideal,G,VVS2,2066,5.32
0.27,Ideal,H,VS1,464,4.15
0.33,Ideal,G,IF,1052,4.47
0.38,Very Good,D,SI1,733,4.66
0.5,Very Good,H,SI1,1068,5.01
1.21,Premium,H,VS2,5461,6.82
0.33,Premium,G,SI1,492,4.39
0.31,Ideal,D,VS1,696,4.33
0.5,Premium,G,VVS2,1935,5.13
0.52,Premium,E,VS1,1819,5.17
0.38,Ideal,E,VS1,1133,4.63
1.7,Premium,I,VS2,11519,7.63
0.3,Premium,H,VS1,675,4.31
0.24,Ideal,H,VS2,391,3.99
0.54,Ideal,D,SI1,1786,5.31
1.5,Premium,F,VVS2,17203,7.51
0.4,Ideal,J,VVS2,662,4.74
0.61,Good,F,VS2,1971,5.29
1.0,Very Good,I,VS2,4739,6.28
0.72,Ideal,F,VS1,3759,5.82
1.02,Fair,E,VS2,5350,6.09
0.41,Ideal,F,VVS1,1295,4.8
0.3,Ideal,D,VS1,848,4.34
0.28,Ideal,G,IF,650,4.25
0.31,Premium,G,VVS1,816,4.37
0.53,Ideal,F,VS2,1723,5.22
0.33,Ideal,E,VS2,928,4.46
0.52,Very Good,H,VS2,1389,5.08
1.5,Good,I,VS1,8910,7.19
1.0,Very Good,I,SI1,4649,6.51
1.91,Premium,G,SI2,9038,7.9
1.51,Ideal,I,SI1,8396,7.39
0.32,Premium,I,SI1,554,4.35
1.0,Premium,G,VS1,6989,6.36
0.42,Premium,F,VVS2,1221,4.86
1.21,Very Good,I,SI1,5346,6.73
0.59,Very Good,G,SI1,1555,5.45
0.75,Fair,F,VS1,2859,6.09
2.01,Premium,H,VS2,13342,7.99
0.77,Premium,F,VS2,3018,5.85
0.61,Ideal,G,VVS2,2331,5.42
1.35,Ideal,G,IF,14616,7.07
1.01,Ideal,E,VVS2,9735,6.42
0.3,Good,G,VS2,648,4.42
1.0,Very Good,D,SI1,4697,6.47
0.5,Fair,E,SI2,871,4.87
0.42,Ideal,G,VVS2,1103,4.8
0.77,Ideal,H,SI1,2781,5.83
2.3,Premium,I,SI2,11051,8.53
0.53,Very Good,G,VS1,1636,5.24
1.22,Ideal,G,VS1,8608,6.82
0.37,Ideal,I,VS1,603,4.67
1.82,Premium,I,VS1,13939,7.83
0.74,Very Good,E,VS2,3180,5.79
0.64,Very Good,I,SI1,1390,5.47
0.32,Ideal,F,VVS1,912,4.42
0.3,Premium,J,VS2,473,4.38
0.67,Premium,G,VS2,2050,5.68
0.43,Ideal,D,SI1,830,4.82
1.01,Very Good,F,VS1,6999,6.32
